REF_DATE,VALUE
1993-01,2416519
1993-02,2373299
1993-03,2658684
1993-04,2439304
1993-05,2714142
1993-06,2814918
1993-07,2975404
1993-08,3106565
1993-09,2738478
1993-10,2772059
1993-11,2728963
1993-12,2825097
1994-01,2601852
1994-02,2444226
1994-03,2617070
1994-04,2412163
1994-05,2784811
1994-06,2898692
1994-07,3025143
1994-08,3175647
1994-09,2993792
1994-10,2796127
1994-11,2740788
1994-12,2806723
1995-01,2621951
1995-02,2530781
1995-03,2632374
1995-04,2576134
1995-05,2575076
1995-06,2955922
1995-07,3062987
1995-08,3196090
1995-09,2895774
1995-10,2863075
1995-11,2775368
1995-12,2807774
1996-01,2679694
1996-02,2631757
1996-03,2645971
1996-04,2704443
1996-05,2879536
1996-06,2834897
1996-07,3043546
1996-08,3137608
1996-09,2823578
1996-10,2934260
1996-11,2730925
1996-12,2826432
1997-01,2761130
1997-02,2586624
1997-03,2670513
1997-04,2747176
1997-05,2954303
1997-06,3023667
1997-07,3206895
1997-08,3128512
1997-09,2997624
1997-10,3015054
1997-11,2767381
1997-12,2970685
1998-01,2778679
1998-02,2589998
1998-03,2807898
1998-04,2803889
1998-05,2631113
1998-06,3096577
1998-07,3257033
1998-08,3263117
1998-09,2984935
1998-10,3056257
1998-11,2938463
1998-12,3103026
1999-01,2840314
1999-02,2732296
1999-03,2978729
1999-04,2888619
1999-05,2770451
1999-06,3255067
1999-07,3244906
1999-08,3321820
1999-09,3083421
1999-10,3048084
1999-11,3000293
1999-12,3055490
2000-01,2853959
2000-02,2884708
2000-03,2947619
2000-04,2872908
2000-05,2808093
2000-06,3157016
2000-07,3298754
2000-08,3295990
2000-09,3060299
2000-10,3082401
2000-11,3011080
2000-12,3102520
2001-01,2952151
2001-02,2760614
2001-03,2857436
2001-04,2839491
2001-05,2934854
2001-06,3170460
2001-07,3307417
2001-08,3360952
2001-09,3073699
2001-10,3160835
2001-11,3055650
2001-12,3078998
2002-01,3016871
2002-02,2812514
2002-03,3005295
2002-04,3037987
2002-05,3252975
2002-06,3140136
2002-07,3485173
2002-08,3540124
2002-09,3162044
2002-10,3235761
2002-11,3117223
2002-12,3143499
2003-01,3054324
2003-02,2884931
2003-03,3057509
2003-04,3010311
2003-05,3290217
2003-06,3223030
2003-07,3490055
2003-08,3518228
2003-09,3248376
2003-10,3308366
2003-11,3078996
2003-12,3257266
2004-01,3169119
2004-02,2966119
2004-03,3143480
2004-04,3138529
2004-05,3277080
2004-06,3302365
2004-07,3463823
2004-08,3451345
2004-09,3238734
2004-10,3267475
2004-11,3172669
2004-12,3321013
2005-01,3098135
2005-02,2935306
2005-03,3103009
2005-04,3077322
2005-05,3293432
2005-06,3383167
2005-07,3481173
2005-08,3417389
2005-09,3160851
2005-10,3180098
2005-11,3118548
2005-12,3235894
2006-01,3053327
2006-02,2828004
2006-03,3116404
2006-04,3071786
2006-05,3263326
2006-06,3368685
2006-07,3427525
2006-08,3574777
2006-09,3214589
2006-10,3298080
2006-11,3174750
2006-12,3262702
2007-01,3147144
2007-02,3018406
2007-03,3148666
2007-04,3128812
2007-05,3387344
2007-06,3427307
2007-07,3518615
2007-08,3620182
2007-09,3294469
2007-10,3349205
2007-11,3301912
2007-12,3293119
2008-01,3190555
2008-02,3054198
2008-03,3143412
2008-04,3125105
2008-05,3303591
2008-06,3212828
2008-07,3444269
2008-08,3443117
2008-09,3258106
2008-10,3387067
2008-11,3219575
2008-12,3366738
2009-01,3197963
2009-02,2980989
2009-03,3145318
2009-04,3203043
2009-05,3339140
2009-06,3398683
2009-07,3584299
2009-08,3553965
2009-09,3418290
2009-10,3371063
2009-11,3202038
2009-12,3313671
2010-01,3175128
2010-02,2976189
2010-03,3139320
2010-04,3158507
2010-05,3412700
2010-06,3517050
2010-07,3602578
2010-08,3596535
2010-09,3395054
2010-10,3427551
2010-11,3238313
2010-12,3462201
2011-01,3283666
2011-02,3043768
2011-03,3242208
2011-04,3205847
2011-05,3424114
2011-06,3573703
2011-07,3592232
2011-08,3668749
2011-09,3332420
2011-10,3416662
2011-11,3240673
2011-12,3388169
2012-01,3217692
2012-02,3139396
2012-03,3254356
2012-04,3182389
2012-05,3436797
2012-06,3533158
2012-07,3506921
2012-08,3713031
2012-09,3329393
2012-10,3466073
2012-11,3324473
2012-12,3340421
2013-01,4154359
2013-02,3002634
2013-03,3105507
2013-04,3267081
2013-05,3550386
2013-06,3502619
2013-07,3604571
2013-08,3686927
2013-09,3383317
2013-10,3495594
2013-11,3274354
2013-12,3422284
2014-01,3785957
2014-02,3118278
2014-03,3651773
2014-04,3346504
2014-05,3605989
2014-06,3777503
2014-07,3668446
2014-08,3780629
2014-09,3332433
2014-10,3217912
2014-11,2949525
2014-12,3183481
2015-01,3332528
2015-02,3135562
2015-03,3341319
2015-04,3453762
2015-05,3564253
2015-06,3643560
2015-07,3871911
2015-08,4103132
2015-09,3526978
2015-10,3636522
2015-11,3412748
2015-12,3537637
